,DBH,Foraged,Colony,Species,Synonym,Family,Distance
1,1,0,4,Tabebuia guayacan,,Bignoniaceae,22.54532546
2,1.1,0,9,Cymbopetalum torulosum,,Annonaceae,32.40519092
3,1.1,0,9,Cymbopetalum torulosum,,Annonaceae,26.79658907
4,1.1,0,9,Cymbopetalum torulosum,,Annonaceae,26.79658907
5,1.1,0,9,Cymbopetalum torulosum,,Annonaceae,32.40519092
6,1.1,0,9,Pouteria glomerulata,P. standleyana,Sapotaceae,32.40519092
7,1.1,0,9,Pouteria glomerulata,P. standleyana,Sapotaceae,26.79658907
8,1.1,0,9,Pouteria glomerulata,P. standleyana,Sapotaceae,26.79658907
9,1.1,0,9,Pouteria glomerulata,P. standleyana,Sapotaceae,32.40519092
10,1.2,0,1,Aspidosperma spruceanum,A. cruentum,Apocynaceae,34.32560738
11,1.2,0,1,Aspidosperma spruceanum,A. cruentum,Apocynaceae,5.110994411
12,1.2,0,9,Ocotea atirrensis,,Lauraceae,5.110994411
13,1.2,0,9,Ocotea atirrensis,,Lauraceae,34.32560738
14,1.3,0,9,Perebea angustifolia,,Moraceae,34.36493648
15,1.4,0,5,Inga ruiziana,,Leguminosae (Mimo),11.79313312
16,1.5,0,4,Hamelia xerocarpa,,Malvaceae,59.93224341
17,1.6,0,1,Otoba novogranatensis,,Myristicaceae,28.30683663
18,1.6,0,1,Otoba novogranatensis,,Myristicaceae,12.98913547
19,1.6,0,1,Otoba novogranatensis,,Myristicaceae,11.55301162
20,1.6,0,1,Otoba novogranatensis,,Myristicaceae,20.50153827
21,1.6,0,1,Otoba novogranatensis,,Myristicaceae,18.2131447
22,1.6,0,1,Otoba novogranatensis,,Myristicaceae,42.0839081
23,1.6,0,4,Pouteria torta,,Leguminosae (Caes),11.55301162
24,1.6,0,4,Pouteria torta,,Leguminosae (Caes),42.0839081
25,1.6,0,4,Pouteria torta,,Leguminosae (Caes),12.98913547
26,1.6,0,4,Pouteria torta,,Leguminosae (Caes),20.50153827
27,1.6,0,4,Pouteria torta,,Leguminosae (Caes),18.2131447
28,1.6,0,4,Pouteria torta,,Leguminosae (Caes),28.30683663
29,1.6,0,5,Inga tonduzii,,Leguminosae (Mimo),11.55301162
30,1.6,0,5,Inga tonduzii,,Leguminosae (Mimo),12.98913547
31,1.6,0,5,Inga tonduzii,,Leguminosae (Mimo),18.2131447
32,1.6,0,5,Inga tonduzii,,Leguminosae (Mimo),20.50153827
33,1.6,0,5,Inga tonduzii,,Leguminosae (Mimo),42.0839081
34,1.6,0,5,Inga tonduzii,,Leguminosae (Mimo),28.30683663
35,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,11.55301162
36,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,20.50153827
37,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,18.2131447
38,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,42.0839081
39,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,11.55301162
40,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,28.30683663
41,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,11.55301162
42,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,20.50153827
43,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,12.98913547
44,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,18.2131447
45,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,12.98913547
46,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,20.50153827
47,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,18.2131447
48,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,42.0839081
49,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,28.30683663
50,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,42.0839081
51,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,28.30683663
52,1.6,0,9,Ixora nicaraguensis,,Rubiaceae,12.98913547
53,1.6,0,9,Meliosma donnell-smithii,,Sabiaceae,11.55301162
54,1.6,0,9,Meliosma donnell-smithii,,Sabiaceae,20.50153827
55,1.6,0,9,Meliosma donnell-smithii,,Sabiaceae,18.2131447
